,Lat,Lon,h'
1114,-21.556402052671988,-23.509462343757924,2301.5059429469366
1115,-21.512922982602674,-23.390231088899252,2301.8703285289685
1116,-21.469359314390335,-23.271071210418278,2302.234043101693
1117,-21.425711287040144,-23.15198264481995,2302.5970849200603
1118,-21.381979139537997,-23.03296532745285,2302.9594522418574
1119,-21.33816311084827,-22.91401919251479,2303.3211433276792
1120,-21.29426343991146,-22.795144173058066,2303.682156440951
1121,-21.25028036564192,-22.676340200995,2304.042489847947
1122,-21.206214126925538,-22.557607207103214,2304.4021418177963
1123,-21.162064962617574,-22.438945121031274,2304.7611106224904
1124,-21.117833111540385,-22.320353871303936,2305.1193945368977
1125,-21.073518812481215,-22.20183338532765,2305.476991838772
1126,-21.02912230419003,-22.083383589396,2305.833900808764
1127,-20.98464382537729,-21.965004408695,2306.1901197304305
1128,-20.940083614711895,-21.84669576730871,2306.5456468902466
1129,-20.895441910818953,-21.72845758822451,2306.9004805776185
1130,-20.850718952277756,-21.610289793338612,2307.25461908489
1131,-20.805914977619633,-21.492192303461433,2307.6080607073436
1132,-20.76103022532586,-21.37416503832293,2307.960803743237
1133,-20.716064933825674,-21.256207916578198,2308.312846493791
1134,-20.671019341494194,-21.138320855812726,2308.66418726321
1135,-20.6258936866504,-21.020503772547873,2309.0148243586846
1136,-20.58068820755514,-20.902756582246212,2309.364756090412
1137,-20.535403142409184,-20.785079199317,2309.7139807715994
1138,-20.49003872935122,-20.66747153712153,2310.062496718476
1139,-20.444595206455944,-20.549933507978526,2310.410302250304
1140,-20.399072811732136,-20.432465023169566,2310.757395689394
1141,-20.35347178312072,-20.315065992944344,2311.1037753611054
1142,-20.307792358492947,-20.1977363265262,2311.4494395938564
1143,-20.262034775648473,-20.080475932117395,2311.794386719155
1144,-20.216199272313542,-19.9632847169045,2312.1386150715825
1145,-20.17028608613915,-19.84616258706377,2312.4821229888184
1146,-20.124295454699226,-19.729109447766405,2312.824908811648
1147,-20.078227615488863,-19.61212520318404,2313.166970883971
1148,-20.032082805922528,-19.495209756493995,2313.508307552822
1149,-19.985861263332325,-19.378363009884605,2313.8489171683577
1150,-19.939563224966253,-19.261584864560593,2314.1887980838965
1151,-19.893188927986458,-19.14487522074828,2314.527948655901
1152,-19.846738609467597,-19.028233977701046,2314.8663672440125
1153,-19.80021250639511,-18.911661033704505,2315.20405221104
1154,-19.753610855663563,-18.79515628608189,2315.541001922995
1155,-19.70693389407502,-18.678719631199233,2315.877214749069
1156,-19.660181858337427,-18.562350964470742,2316.2126890616746
1157,-19.61335498506296,-18.446050180364033,2316.5474232364395
1158,-19.566453510766472,-18.32981717240535,2316.881415652222
1159,-19.519477671863932,-18.213651833184894,2317.2146646911115
1160,-19.472427704670814,-18.09755405436194,2317.5471687384597
1161,-19.425303845400613,-17.981523726670193,2317.8789261828697
1162,-19.378106330163327,-17.865560739922973,2318.2099354162146
1163,-19.330835394963916,-17.749664983018356,2318.5401948336457
1164,-19.283491275700868,-17.63383634394448,2318.869702833612
1165,-19.236074208164666,-17.518074709784614,2319.198457817851
1166,-19.188584428036425,-17.402379966722446,2319.526458191418
1167,-19.141022170886398,-17.286752000047198,2319.853702362685
1168,-19.093387672172597,-17.17119069415881,2320.1801887433576
1169,-19.045681167239348,-17.05569593257301,2320.5059157484793
1170,-18.997902891315988,-16.94026759792655,2320.830881796437
1171,-18.95005307951544,-16.82490557198227,2321.155085308992
1172,-18.902131966832897,-16.709609735634217,2321.478524711263
1173,-18.854139788144497,-16.594379968912783,2321.8011984317563
1174,-18.80607677820598,-16.479216150989654,2322.1231049023663
1175,-18.757943171651462,-16.3641181601831,2322.44424255838
1176,-18.70973920299206,-16.249085873962855,2322.764609838512
1177,-18.66146510661473,-16.134119168955255,2323.0842051848795
1178,-18.613121116781,-16.019217920948286,2323.403027043032
1179,-18.564707467625656,-15.904382004896473,2323.7210738619688
1180,-18.516224393155667,-15.789611294926095,2324.0383440941296
1181,-18.467672127248914,-15.67490566434003,2324.3548361954163
1182,-18.419050903653,-15.560264985622789,2324.6705486251994
1183,-18.370360955984175,-15.445689130445528,2324.985479846331
1184,-18.321602517726067,-15.331177969670875,2325.299628325147
1185,-18.272775822228663,-15.216731373358012,2325.6129925314854
1186,-18.22388110270717,-15.102349210767581,2325.9255709386925
1187,-18.174918592240882,-14.98803135036652,2326.237362023632
1188,-18.12588852377213,-14.87377765983299,2326.548364266695
1189,-18.076791130105228,-14.759588006061339,2326.8585761518098
1190,-18.027626643905414,-14.645462255166885,2327.1679961664577
1191,-17.978395297697823,-14.531400272490824,2327.476622801665
1192,-17.929097323866475,-14.417401922605066,2327.7844545520366
1193,-17.879732954653235,-14.30346706931695,2328.0914899157506
1194,-17.830302422156908,-14.189595575674273,2328.3977273945657
1195,-17.78080595833222,-14.07578730396992,2328.7031654938364
1196,-17.731243794988856,-13.962042115746689,2329.0078027225354
1197,-17.68161616379057,-13.848359871802113,2329.311637593233
1198,-17.63192329625419,-13.734740432193064,2329.6146686221346
1199,-17.582165423748805,-13.621183656240662,2329.916894329079
1200,-17.532342777494808,-13.5076894025349,2330.2183132375358
1201,-17.482455588563045,-13.394257528939422,2330.518923874648
1202,-17.432504087873916,-13.280887892596011,2330.818724771205
1203,-17.38248850619661,-13.167580349929544,2331.1177144616777
1204,-17.332409074148202,-13.054334756652462,2331.4158914842064
1205,-17.282266022192868,-12.941150967769472,2331.7132543806365
1206,-17.232059580641092,-12.828028837582151,2332.009801696504
1207,-17.181789979648826,-12.714968219693517,2332.305531981059
1208,-17.131457449216818,-12.601968967012727,2332.600443787267
1209,-17.081062219189757,-12.489030931759565,2332.8945356718286
1210,-17.0306045192556,-12.376153965469008,2333.18780619517
1211,-16.980084578944815,-12.26333791899583,2333.4802539214797
1212,-16.929502627629635,-12.150582642518978,2333.7718774186906
1213,-16.878858894523447,-12.037887985546275,2334.0626752584994
1214,-16.82815360868003,-11.925253796918778,2334.3526460163957
1215,-16.777386998992917,-11.812679924815297,2334.641788271634
1216,-16.72655929419475,-11.70016621675685,2334.930100607269
1217,-16.675670722856587,-11.587712519611042,2335.217581610161
1218,-16.62472151338734,-11.475318679596594,2335.5042298709777
1219,-16.573711894033135,-11.362984542287702,2335.7900439842088
1220,-16.5226420928767,-11.250709952618399,2336.075022548175
1221,-16.47151233783678,-11.138494754886901,2336.3591641650382
1222,-16.420322856667585,-11.026338792760063,2336.6424674408026
1223,-16.369073876958222,-10.914241909277637,2336.9249309853367
1224,-16.31776562613214,-10.802203946856588,2337.2065534123685
1225,-16.266398331446627,-10.690224747295463,2337.4873333395117
1226,-16.21497221999223,-10.57830415177852,2337.7672693882523
1227,-16.163487518692328,-10.466442000880189,2338.046360183982
1228,-16.111944454302602,-10.354638134569193,2338.324604355983
1229,-16.060343253410547,-10.242892392212811,2338.6020005374576
1230,-16.008684142435037,-10.13120461258109,2338.8785473655244
1231,-15.95696734762582,-10.019574633851,2339.15424348124
1232,-15.90519309506316,-9.9080022936107,2339.429087529581
1233,-15.853361610657338,-9.7964874288636,2339.703078159495
1234,-15.801473120148295,-9.685029876032583,2339.9762140238618
1235,-15.749527849105148,-9.573629470964015,2340.248493779549
1236,-15.697526022925926,-9.462286048931968,2340.519916087378
1237,-15.645467866837084,-9.350999444642248,2340.790479612164
1238,-15.59335360589321,-9.239769492236455,2341.0601830227097
1239,-15.541183464976642,-9.128596025296087,2341.3290249918246
1240,-15.488957668797113,-9.01747887684642,2341.5970041963137
1241,-15.436676441891489,-8.90641787936075,2341.8641193170133
1242,-15.384340008623408,-8.795412864764195,2342.130369038774
1243,-15.331948593182982,-8.684463664437764,2342.395752050492
1244,-15.27950241958654,-8.57357010922232,2342.660267045101
1245,-15.22700171167628,-8.462732029422396,2342.9239127195888
1246,-15.17444669312011,-8.351949254810306,2343.1866877750017
1247,-15.121837587411314,-8.241221614629922,2343.448590916456
1248,-15.069174617868335,-8.130548937600567,2343.7096208531493
1249,-15.016458007634577,-8.019931051920956,2343.9697762983596
1250,-14.963687979678113,-7.909367785272893,2344.2290559694666
1251,-14.91086475679157,-7.798858964825294,2344.487458587948
1252,-14.85798856159187,-7.688404417237839,2344.7449828793942
1253,-14.805059616520099,-7.578003968664881,2345.001627573518
1254,-14.75207814384126,-7.467657444759071,2345.2573914041604
1255,-14.699044365644209,-7.357364670675292,2345.5122731092997
1256,-14.645958503841445,-7.2471254710742725,2345.7662714310536
1257,-14.592820780168982,-7.136939670126346,2346.0193851157073
1258,-14.539631416186248,-7.026807091515167,2346.2716129136934
1259,-14.486390633275931,-6.916727558441313,2346.5229535796207
1260,-14.433098652643903,-6.806700893626063,2346.773405872287
1261,-14.379755695319151,-6.696726919314973,2347.022968554653
