,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
630,3.9623691126357747,6.059669491467321,0.19939000686585917,6.062949011880091,[3.08828884 3.21509231],[-2.97138066  3.01570231],369.43747433546696
631,3.9686585874177362,6.091224468930278,0.20062924635469193,6.094527678613643,[3.10249194 3.2350746 ],[-2.98873253  3.03444536],370.1677063056128
632,3.9749480621996978,6.122549116616837,0.20187567694090935,6.1258763841858554,[3.11658293 3.25517285],[-3.00596619  3.05329717],370.89839205479706
633,3.9812375369816593,6.153641487327917,0.203129249319006,6.156993182267806,[3.13056056 3.27538626],[-3.02308093  3.07225701],371.62952627147996
634,3.9875270117636212,6.184499653545011,0.20438991390096417,6.187876146272063,[3.14442357 3.29571402],[-3.04007609  3.09132411],372.3611038293943
635,3.9938164865455827,6.215121707131637,0.20565762081821992,6.218523369053097,[3.15817072 3.31615534],[-3.05695099  3.11049772],373.09311978268596
636,4.000105961327544,6.245505759045578,0.20693231992362815,6.248932962618535,[3.17180079 3.3367094 ],[-3.07370496  3.12977708],373.82556936123717
637,4.006395436109505,6.275649939061438,0.208213960793457,6.279103057850789,[3.18531259 3.3573754 ],[-3.09033735  3.14916144],374.558447966166
638,4.012684910891467,6.305552395503076,0.2095024927293716,6.309031804238619,[3.1987049  3.37815252],[-3.1068475   3.16865003],375.2917511654962
639,4.018974385673428,6.335211294985516,0.21079786476044848,6.338717369618212,[3.21197655 3.39903993],[-3.12323474  3.18824206],376.02547468998966
640,4.02526386045539,6.364624822165968,0.21210002564518504,6.368157939923433,[3.22512638 3.4200368 ],[-3.13949844  3.20793678],376.75961442913865
641,4.031553335237352,6.393791179503481,0.21340892387353128,6.397351718944751,[3.23815323 3.44114232],[-3.15563795  3.22773339],377.49416642730904
642,4.037842810019313,6.422708587026966,0.2147245076689268,6.426296928096583,[3.25105596 3.46235564],[-3.17165262  3.24763113],378.2291268800311
643,4.044132284801275,6.451375282111182,0.21604672499034505,6.454991806192645,[3.26383344 3.48367592],[-3.18754184  3.26762919],378.9644921304327
644,4.050421759583236,6.479789519260295,0.2173755235343542,6.483434609228922,[3.27648455 3.50510231],[-3.20330497  3.28772679],379.7002586658085
